metal_level,company,plan_number,plan_name,plan_type,sob_url,plan_id
Expanded Bronze,Ambetter from Louisiana Healthcare Connections,90787LA0020002,Elite Bronze + Vision + Adult Dental,EPO,https://api.centene.com/SBC/2025/90787LA0020002-01.pdf,0000b30f-e59e-40cd-ac0a-449c86659815
Expanded Bronze,UnitedHealthcare,40220TX0080031,UHC Bronze Copay Focus $0 Indiv Med Ded ($0 Virtual Urgent Care),HMO,https://www.uhc.com/ifp/sbc.40220TX0080031-01.en.2025.pdf,00021125-718a-4dea-9e61-ca53f0cb4fc7
Silver,Ambetter from Arkansas Health & Wellness,70525AR0070288,Standard Silver (QualChoice),POS,https://api.centene.com/SBC/2025/70525AR0070288-01.pdf,00022a06-274f-4b3d-b3bf-585b04f80b2b
Silver,Blue Cross Blue Shield of Michigan Mutual Insurance Company,15560MI1130001,Blue Cross� Premier PPO Silver Extra,PPO,https://www.bcbsm.com/amslibs/content/dam/public/marketplace/2025-individual/sbc/premier-silver-extra-sbc.pdf,0003399e-1c11-453a-ac9e-9d69185d30e9
Gold,Highmark Blue Cross Blue Shield West Virginia,31274WV0570003,my Blue Access WV PPO Gold 0 + Adult Dental and Vision,PPO,https://shop.highmark.com/content/sbcs/2025/WV/Individual/I_31274WV0570003-01_20250101_SBC.pdf,000390d7-11fa-41dc-b8b8-8a784c3b40b0
Bronze,Cigna Healthcare,99248TN0060033,Connect Bronze 7500 Indiv Med Deductible,EPO,https://www.cigna.com/static/www-cigna-com/docs/ifp/m-25-sbc-tn-970995-b-connect7500.pdf,0003ed12-d5ac-4e9f-9865-3b9cc0306411
Gold,BlueCross BlueShield of South Carolina,26065SC0380048,BlueEssentials Gold 5,EPO,https://www.southcarolinablues.com/web/nonsecure/sc/resources/5264abda-5d1d-4b6e-9f9b-d43691d4f3eb/BCBS+Individual+-+Gold+5+2025.pdf,000572f1-01b1-4d0a-b092-743fd1631bc2
Silver,Aetna CVS Health,58840TX0110103,Silver 5 Advanced: Aetna network + $0 walk-in clinic + $0 CVS Health Virtual Care 24/7,HMO,https://www.aetnacvshealth.com/documents/2025-IFP-774721_58840TX0110103-01_SBC.pdf,00063e44-6138-4900-b877-22c9ecc32073
Expanded Bronze,Priority Health,29698MI0541100,MyPriority Standard Bronze,HMO,https://priorityhealth.stylelabs.cloud/api/public/content/2025-standard-bronze-sbc.pdf,00065409-93c0-4f46-967c-7d81fe2c4e1d
Silver,BlueCross BlueShield of Tennessee,14002TN0400330,BlueCross S25E $55 PCP Copay + $0 virtual care from Teladoc Health �,EPO,https://www.bcbst.com/sbc/2025/127600/S25E_SBC.pdf,0007bd5a-7c66-4f78-b08b-9c7fe927f7b6
Gold,CareSource,77552OH0020215,Healthy Heart Gold 1500 $0 Select Drugs & Specialized Services Adult Vision & Fitness,HMO,https://www.caresource.com/documents/Marketplace--2025-HH-Elite-OH-Gold1500$0SelectDrugs&SpecializedServicesAdultVision&Fitness-Base-V&F-sum.pdf,000807d8-6d5b-4bb9-b96c-fdc07722d3f1
Expanded Bronze,Ambetter Health,49004FL0020001,Standard Expanded Bronze + Vision + Adult Dental,HMO,https://api.centene.com/SBC/2025/49004FL0020001-01.pdf,00082f43-9b20-47cf-9cc1-051f1ec461cb
Silver,Blue Cross and Blue Shield of Montana,30751MT0550087,Blue Preferred Silver PPO? Standard,PPO,https://www.bcbsmt.com/sbc/ind/sbc-spsa57ppoimtp-mt-2025.pdf,000880b5-e244-42cf-9f56-853553481711
Silver,Ambetter from Absolute Total Care,79222SC0010023,Clear Silver,HMO,https://api.centene.com/SBC/2025/79222SC0010023-01.pdf,000918eb-0ec3-4d21-b0a8-804dea8a742a
Silver,Community Health Choice,27248TX0010020,"Community Premier Silver 020 (No Deductible for PCP, Specialists & Generics, $0 PCP 24/7 Virtual Care Options)",HMO,https://www.communityhealthchoice.org/wp-content/uploads/2024/05/27248TX0010020-01-2025.pdf,000ac8a8-957a-43d7-b8a4-cca687b98c59
Expanded Bronze,Blue Cross and Blue Shield of Texas,33602TX0870113,Blue Advantage Plus Bronze? Standard,POS,https://www.bcbstx.com/sbc/ind/sbc-bosa91bavitxp-tx-2025.pdf,000afe12-d4a3-49dc-b0bd-c969a95cf06f
Silver,Ambetter of North Carolina,77264NC0010060,Standard Silver with Atrium Health,HMO,https://api.centene.com/SBC/2025/77264NC0010060-01.pdf,000b6555-a614-409f-8006-5f5b4c867973
Silver,Quartz,37833WI0510273,QUARTZ ONE ACHIEVE W/ADVOCATE HEALTH CARE SILVER $7000 DED,HMO,https://apps.quartzbenefits.com/sbc/Document.aspx?i=Q1S255127301/view.pdf,000b8d8d-4423-49b9-97f2-8d80e77b937d
Silver,Security Health Plan,38166WI0180018,"Select $4,100 HDHP",EPO,https://www.securityhealth.org/sbc/IFPSelect_4100_01.pdf,000bfd27-a8a2-4e3e-b056-b56ff54dbd31
Expanded Bronze,PacificSource Health Plans,23603MT0290016,Navigator Standard Expanded Bronze,PPO,https://pacificsource.widen.net/content/gpfci6tklw/pdf/Navigator-Standard-Expanded-Bronze_23603MT0290016-01-SBC_2025.pdf,000cfb25-17cf-4692-8da1-1693a0c4f046
Gold,UnitedHealthcare,42529IL0080005,"UHC Gold Advantage+ (Dental + Vision, No Referrals)",HMO,https://www.uhc.com/ifp/sbc.42529IL0080005-01.en.2025.pdf,000d4418-0b39-4ed9-aff9-c3989d392732
Expanded Bronze,Sanford Health Plan,31195SD0110006,"Sanford Individual Simplicity $7,100 HSA Qualified",PPO,https://www.sanfordhealthplan.org/-/media/plan-documents/2025/PY25INDSimp_7100HSAQ_SD_HP2906.pdf,000e15fb-9499-4cb6-a09c-a3ed3b791d1f
Silver,UnitedHealthcare,33764SC0030007,UHC Silver Advantage,HMO,https://www.uhc.com/ifp/sbc.33764SC0030007-01.en.2025.pdf,000ebcd4-1f48-4c0a-9039-e02a1404dcab
Bronze,CareSource,54192IN0010020,Low Premium Bronze 9200 $25 Generic Drugs,HMO,https://www.caresource.com/documents/Marketplace-2025-LowPrem-IN-LowPremiumBronze9200$25GenericDrugs-Base-Basic-sum.pdf,000f2035-610d-4239-9471-4afa327385b7
Gold,Ambetter Health,49004FL0020012,Standard Gold + Vision + Adult Dental,HMO,https://api.centene.com/SBC/2025/49004FL0020012-01.pdf,001125ef-1e88-4c01-898e-b1ed3685c5ce
Silver,UnitedHealthcare,69443TN0180001,"UHC Silver Advantage+ (Dental + Vision, No Referrals)",EPO,https://www.uhc.com/ifp/sbc.69443TN0180001-01.en.2025.pdf,00118059-be27-48aa-9750-b9fcd6a5d568
Gold,Ambetter Health,35065IN0040004,Complete Gold,HMO,https://api.centene.com/SBC/2025/35065IN0040004-01.pdf,00119171-a138-4e47-bc6a-87f15451ea0e
Gold,UnitedHealthcare,33931OH0030032,"UHC Gold Copay Focus $0 Indiv Med Ded ($0 Virtual Urgent Care, $3 Tier 2 Rx, No Referrals)",HMO,https://www.uhc.com/ifp/sbc.33931OH0030032-01.en.2025.pdf,001191a9-395b-4891-9fb3-196a5cce00a9
Silver,Providence Health Plan,56707OR1360004,Providence Oregon Standard Silver Plan - Signature Network,EPO,https://providencehealthplan.com/-/media/providence/website/pdfs/indi-fam/2025/SBC/OR/2025_Providence_Oregon_Standard_Silver_Plan_Signature_Network_01.pdf,001196c0-7e55-4d88-863e-33b6542e9b09
Expanded Bronze,UnitedHealthcare,33931OH0030034,"UHC Bronze Value ($5 Tier 2 Rx, No Referrals)",HMO,https://www.uhc.com/ifp/sbc.33931OH0030034-01.en.2025.pdf,0013b264-3fe8-4274-8990-df1686f6191c
Expanded Bronze,Ambetter of Tennessee,70111TN0120023,Everyday Bronze + Vision + Adult Dental,EPO,https://api.centene.com/SBC/2025/70111TN0120023-01.pdf,0013c23a-86ea-4b0a-b45c-0169082538cb
Silver,Ambetter from Superior HealthPlan,29418TX0140019,Complete Silver,EPO,https://api.centene.com/SBC/2025/29418TX0140019-01.pdf,001444cd-488c-41b4-b212-ab89163f0da7
Silver,Select Health,68781UT0200018,Med Benchmark Silver Standardized Plan,HMO,https://selecthealth.org/files/sbc/I30A2046_20250101_GGGGGGGG_GGGG_SSSS.pdf,00151f21-43f5-492a-b81b-71638d4d35e9
Expanded Bronze,Group Health Cooperative-SCW,94529WI0240028,Partners HMO Bronze 7900 Ded/7900 MOOP HSA,HMO,https://planfinder.ghcscw.com/sbc/2511404.pdf,0016865f-90ae-4561-9600-b6ce1817f7d0
Gold,Blue Cross and Blue Shield of Montana,30751MT0550045,Blue Preferred Gold PPO? 204,PPO,https://www.bcbsmt.com/sbc/ind/sbc-gpsh30ppoimtp-mt-2025.pdf,00172bb6-3fe1-4f6a-a36a-e1f414926815
Silver,Ambetter from Superior HealthPlan,29418TX0140100,Focused Silver,EPO,https://api.centene.com/SBC/2025/29418TX0140100-01.pdf,00179403-34e5-422a-9aa2-5cc42fb5ddd8
Gold,Mountain Health CO-OP,32225MT0060004,Plus Gold,PPO,https://mountainhealth.coop/wp-content/uploads/plans/2025/2025_IND_MT_PLUS_GOLD_SBC.pdf,0017a80d-ad51-486b-bb24-1158f486f9f2
Expanded Bronze,AvMed,19898FL0340095,AvMed Entrust Expanded Bronze Standard (2025),HMO,https://apps.avmed.com/Public/OHBRFileManager/DownloadFile.aspx?filePath=%2Fpresales%2FAvMed%2F2025%2FSBC%2FIFP%2FAVINHB16480101250624.pdf,00182df1-f1ed-4fe7-a3ff-7bda796f309f
Expanded Bronze,Oscar Insurance Company of Florida,40572FL0070050,Bronze Classic Standard,EPO,https://d3ul0st9g52g6o.cloudfront.net/2025/FL/sbc/2025_40572FL007005001.pdf,00183b56-e010-4178-afdb-118561cb6eee
Gold,Premera Blue Cross Blue Shield of Alaska,38344AK1100001,Premera Blue Cross Standard Gold,PPO,https://www.premera.com/documents/059174_2025.pdf,00189fd2-15d6-4c7e-a565-9254d2358f2a
Silver,Blue Cross and Blue Shield of Alabama,46944AL0660001,Blue Cross Select Silver,PPO,https://www.alabamablue.com/sb/2025css.pdf,001a3485-27b3-4e04-b53e-a55fc63e2206
Expanded Bronze,Ambetter of Tennessee,70111TN0110033,Standard Expanded Bronze,EPO,https://api.centene.com/SBC/2025/70111TN0110033-01.pdf,001ae2a7-58dc-470f-bdf0-ee3dad39f9d5
Expanded Bronze,Anthem Blue Cross and Blue Shield,79475WI0530008,Anthem Bronze Preferred/Broad Standard ($0 Virtual PCP + $0 Select Drugs + Incentives),POS,https://sbc.anthem.com/dpsdeeplink/deepLink/AnthemBronzePreferredBroadStandard0VirtualPCP0SelectDrugsIncentives/81JE/English/DG166705364090.pdf,001bde02-b549-4298-9f94-d4a5f918c1e9
Silver,PacificSource Health Plans,23603MT0290017,Navigator Standard Silver,PPO,https://pacificsource.widen.net/content/kxibouxyd0/pdf/Navigator-Standard-Silver_23603MT0290017-01-SBC_2025.pdf,001ddd03-e7f5-49da-9620-5caef9f66f2e
Gold,UnitedHealthcare,40220TX0080013,UHC Gold Standard $0 Indiv Ded ($0 Virtual Urgent Care),HMO,https://www.uhc.com/ifp/sbc.40220TX0080013-01.en.2025.pdf,001e2a31-5c3d-4ae7-81a2-6701f31eb49a
Gold,UnitedHealthcare,68398FL0060001,"UHC Gold Advantage+ ($0 Virtual Urgent Care, $1 Tier 2 Rx, Dental + Vision)",HMO,https://www.uhc.com/ifp/sbc.68398FL0060001-01.en.2025.pdf,001efa4f-415c-4494-aab5-69f16dd20db6
Expanded Bronze,Mountain Health CO-OP,38576WY0020004,High Plains Bronze HDHP,PPO,https://mountainhealth.coop/wp-content/uploads/plans/2025/2025_WY_IND_HIGH_PLAINS_BRONZE_HDHP_SBC.pdf,001f30b7-4a68-4178-911e-8e163becb2a3
Gold,Ambetter from Nebraska Total Care,26289NE0020036,Elite Gold,HMO,https://api.centene.com/SBC/2025/26289NE0020036-01.pdf,001f53ec-364b-4449-ae65-ed4cfd827163
Expanded Bronze,Ambetter from Home State Health,99723MO0110053,Elite Bronze + Vision + Adult Dental,EPO,https://api.centene.com/SBC/2025/99723MO0110053-01.pdf,001f9b56-2a64-4809-81be-fb01c426c33b
Silver,Health Alliance,20129IL0330091,2025 HMO 5000 Elite Silver,HMO,https://www.healthalliance.org/documents/sbc/IL_IND_PUB_SBC_2025_HMO_5000_ELITE_SILVER/2025.pdf,001f9cc0-8057-4655-b809-d44da24f6ebe
Gold,Molina Healthcare,64353OH0010008,Gold 8,HMO,https://www.molinamarketplace.com/members/oh/en-US/PDF/Marketplace/2025/OH25SBCE_G8_1.pdf,00208f05-a6ba-43f0-810f-faa4a0af248a
Silver,HMO Louisiana,19636LA0220018,"Blue POS Copay (PCP, Specialist, Urgent Care) 60/40 $5000 Standardized Plan",POS,https://www.bcbsla.com/web/applications/sbcportal/sbcs/2025/19636LA0220018-01.pdf,00212491-7a54-4785-a835-e5ac456684a4
Silver,Molina Healthcare,45786TX0020011,Silver 8,HMO,https://www.molinamarketplace.com/members/tx/en-US/PDF/Marketplace/2025/TX25SBCE_S8_1.pdf,00222963-860e-4cf6-952e-77c7980465ae
Gold,Aetna CVS Health,58840TX0110033,Gold S: Aetna network + $0 walk-in clinic + $0 CVS Health Virtual Care 24/7,HMO,https://www.aetnacvshealth.com/documents/2025-IFP-774751_58840TX0110033-01_SBC.pdf,00229b72-82ed-4ff0-bb55-d2e63dc70fda
Expanded Bronze,Anthem Blue Cross and Blue Shield,17575IN0760005,Anthem Bronze Essential POS 5500 ($0 Virtual PCP + $0 Select Drugs + Incentives),POS,https://sbc.anthem.com/dpsdeeplink/deepLink/AnthemBronzeEssentialPOS55000VirtualPCP0SelectDrugsIncentives/86BW/English/DG166705364852.pdf,0023e910-d0c1-45ec-84a2-3982e71b19be
Gold,Ambetter from Sunflower Health Plan,34368KS0110033,Everyday Gold,EPO,https://api.centene.com/SBC/2025/34368KS0110033-01.pdf,00255972-5128-40e3-b379-f81cfd77922d
Expanded Bronze,Ambetter from Sunflower Health Plan,34368KS0120043,Everyday Bronze + Vision + Adult Dental,EPO,https://api.centene.com/SBC/2025/34368KS0120043-01.pdf,0026042e-2560-49c9-8344-1e615a4b2498
Silver,MedMutual,99969OH0080495,SilverSelect w/ Virtual & Wellness ON-EX,HMO,https://www.medmutual.com/-/media/9C89AEB02C574037A0D59EE9D81C55E3.pdf,0027372d-aede-4149-bdd1-884b343578d3
Gold,Aetna CVS Health,58840TX0110075,Gold 3 Advanced: Aetna network + $0 walk-in clinic + $0 CVS Health Virtual Care 24/7,HMO,https://www.aetnacvshealth.com/documents/2025-IFP-774735_58840TX0110075-01_SBC.pdf,0027c855-72c6-4ca2-9153-46fb2e74d555
Platinum,Florida Blue HMO (a BlueCross BlueShield FL company),30252FL0070100,myBlue Platinum 24M05-00S ($0 Deductible / $10 PCP Visits / Multilingual Available / Rewards),HMO,https://www.bcbsfl.com/DocumentLibrary/sbc/2025/24M05-00S.pdf,0028ae94-acf7-4d12-aa59-cb425753f3b7
Silver,Florida Blue (BlueCross BlueShield FL),16842FL0120072,BlueSelect Silver 1443 ($0 Virtual PCP Visits / $0 Labs / Rewards),EPO,https://www.bcbsfl.com/DocumentLibrary/sbc/2025/1443.pdf,00292045-654a-4016-8675-2b5cc64c3fdf
Silver,BlueCross BlueShield of South Carolina,26065SC0380023,BlueEssentials Silver 14,EPO,https://www.southcarolinablues.com/web/nonsecure/sc/resources/b8dc8c32-b78c-4f24-8c7e-2a9d2dc759a7/BCBS+Individual+-+Silver+14+2025.pdf,00294e10-8d9f-4e19-97e3-218d31391752
Expanded Bronze,PacificSource Health Plans,10091OR0750012,PacificSource Oregon Standard Bronze Plan NAV,PPO,https://pacificsource.widen.net/view/pdf/i8pk5htq1g/PacificSource-OR-Standard-Bronze-Plan-NAV_10091OR0750012-01-SBC_2025.pdf,0029614a-2b06-4b25-ab16-847033d72664
Silver,UnitedHealthcare,95426MO0420004,"UHC Silver Standard+ (Dental + Vision, No Referrals)",EPO,https://www.uhc.com/ifp/sbc.95426MO0420004-01.en.2025.pdf,0029b806-9cba-4d53-98e4-d69ceb2ead03
Gold,UnitedHealthcare,94968KS0090003,UHC Gold Standard (No Referrals),EPO,https://www.uhc.com/ifp/sbc.94968KS0090003-01.en.2025.pdf,002aa5c3-2910-450f-8f3c-da45f31d2113
Expanded Bronze,Highmark Blue Cross Blue Shield West Virginia,31274WV0560001,my Blue Access WV PPO Bronze 3800,PPO,https://shop.highmark.com/content/sbcs/2025/WV/Individual/I_31274WV0560001-01_20250101_SBC.pdf,002b3898-e5bd-4c38-8630-c3904d634df7
Expanded Bronze,Ambetter from Nebraska Total Care,26289NE0020039,Standard Expanded Bronze,HMO,https://api.centene.com/SBC/2025/26289NE0020039-01.pdf,002c7804-001f-4353-9928-53a08127c27d
Silver,Molina Healthcare,40047MI0010002,Silver 1,HMO,https://www.molinamarketplace.com/members/mi/en-US/PDF/Marketplace/2025/MI25SBCE_S1_1.pdf,002d1729-c9ca-4715-8e7f-f0cb875fe998
